"321	Chemistry SL	46	81	82	9	2",,
"322	Chinese A1 HL	46	83	84	9	2",,
"323	Chinese A1 SL	46	85	86	9	2",,
"324	Computer Science HL	46	87	88	9	2",,
"325	Computer Science SL	46	89	90	9	2",,
"326	Design Technology HL	46	91	92	9	2",,
"327	Design Technology SL	46	93	94	9	2",,
"328	Economics HL	46	95	96	9	2",,
"329	Economics SL	46	97	98	9	2",,
"330	Environmental Â 	46	99	100	9	2",,
"331	Film HL	46	101	102	9	2",,
"483	French A2 SL	47	23	24	9	2",,
"380	Toefl English	372	7	8	7	2",,
"375	Reading English	371	19	20	7	2",,
"381	Linguistics	372	13	14	7	2",,
"382	Proofreading	373	23	24	7	2",,
"383	Public Speaking	373	25	26	7	2",,
"206	Sign Language	7	170	177	10	1",,
"253	Intermediate Sign Language	206	175	176	10	2",,
"255	Advanced Sign Language	206	171	172	10	2",,
"249	Beginner Turkish	202	189	190	10	2",,
"225	Beginner Chinese	207	21	22	10	2",,
"211	Czech	7	26	33	10	1",,
"251	Advanced Turkish	202	187	188	10	2",,
"256	Intermediate Spanish	12	183	184	10	2",,
"257	Intermediate Russian	201	167	168	10	2",,
"258	Intermediate Romanian	218	159	160	10	2",,
"259	Advanced Romanian	218	155	156	10	2",,
"13	Basic Spanish	12	181	182	10	2",,
"14	Advanced Spanish	12	179	180	10	2",,
"218	Romanian	7	154	161	10	1",,
"12	Spanish	7	178	185	10	1",,
"202	Turkish	7	186	193	10	1",,
"200	Korean	7	114	121	10	1",,
"265	Intermediate Hebrew	199	79	80	10	2",,
"212	German	7	58	65	10	1",,
"274	Beginner Korean	200	117	118	10	2",,
"521	Human Geography	518	3	4	15	2",,
"518	Geography	506	2	7	15	1",,
"7	Languages		1	200	10	0",,
"220	Esl/Esol	219	195	196	10	2",,
"219	others Languages	7	194	199	10	1",,
"221	Toefl	219	197	198	10	2",,
"282	Intermediate Mandarin	228	135	136	10	2",,
"216	Greek	7	66	73	10	1",,
"275	Advanced Korean	200	115	116	10	2",,
"264	Intermediate Japanese	217	111	112	10	2",,
"416	HTML 5	410	71	72	4	2",,
"417	HTML 	410	69	70	4	2",,
"425	Ruby 	410	85	86	4	2",,
"426	SQL 	410	87	88	4	2",,
"419	Java 	410	73	74	4	2",,
"420	Javascript 	410	75	76	4	2",,
"427	Visual Basic 	410	89	90	4	2",,
"388	AutoCAD	386	99	100	4	2",,
"390	MATLAB	386	103	104	4	2",,
"341	Mathematics HL	46	121	122	9	2",,
"352	Social & Cultural Anthropology SL	46	143	144	9	2",,
"332	Film SL	46	103	104	9	2",,
"333	Further Maths SL	46	105	106	9	2",,
"334	Geography HL	46	107	108	9	2",,
"335	Geography SL	46	109	110	9	2",,
"461	Adobe Illustrator	385	5	6	4	2",,
"336	History HL	46	111	112	9	2",,
"337	History SL	46	113	114	9	2",,
"407	Macintosh	399	19	20	4	2",,
"399	Computer Operating System 	384	14	23	4	1",,
"408	UNIX	399	21	22	4	2",,
"456	Microeconomics (College Advanced)	439	19	20	2	2",,
"308	Calculus (Ap Ab/College Intro)	292	15	16	11	2",,
"459	Financial Accounting	438	5	6	2	2",,
"378	Vocabulary English	372	9	10	7	2",,
"309	Calculus (Ap Bc/College Level II)	292	17	18	11	2",,
"405	Computer Engineering	401	123	124	4	2",,
"418	iOS 	410	93	94	4	2",,
"428	Web Development	410	91	92	4	2",,
"409	Microsoft 	384	42	57	4	1",,
"411	C	410	61	62	4	2",,
"311	Differential Equations	292	19	20	11	2",,
"412	C Sharp 	410	63	64	4	2",,
"410	Programming	384	58	95	4	1",,
"2	Computer Science	384	24	41	4	1",,
"436	Machine Learning	2	39	40	4	2",,
"489	German A2 HL	47	35	36	9	2",,
"267	Intermediate Hindi	204	87	88	10	2",,
"312	Partial Differential Equations	292	23	24	11	2",,
"462	Adobe InDesign	385	7	8	4	2",,
"463	Adobe Lightroom	385	9	10	4	2",,
"564	Pre-Law	560	15	16	13	2",,
"568	Religious Studies	560	19	20	13	2",,
"569	Bible Studies	560	5	6	13	2",,
"570	Study Skills	560	21	22	13	2",,
"566	Education	560	11	12	13	2",,
"567	Gender Studies	560	13	14	13	2",,
"131	MCAT (Physical Sciences)	129	63	64	17	2",,
"52	ACT Reading	49	7	8	17	2",,
"48	Test Prep		1	206	17	0",,
"223	Intermediate  Arabic	198	7	8	10	2",,
"268	Advanced Hindi	204	83	84	10	2",,
"242	Beginner German	212	61	62	10	2",,
"227	Advanced Chinese	207	19	20	10	2",,
"269	Intermediate Indonesian	209	95	96	10	2",,
